Laptop_name,price
"Lenovo IdeaPad 1 15IAU7 Laptop With 15.6-inch HD Display, Core i3-1215U Processor/4GB RAM/512GB SSD/DOS(Without Windows)/Intel UHD Graphics/ English/Arabic Cloud Grey ","1,129"
"HUAWEI MateBook D 15 Laptop With 15.6-Inch Full HD Display, Core i5-1155G7 Processor/8GB RAM/512GB SSD/Windows 11 Home/ English/Arabic Mystic Silver ","1,899"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i9-13900H Processor/16GB RAM /1TB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","3,699"
"Apple MacBook Pro MNEJ3 13-Inch Display : Apple M2 chip with 8-core CPU and 10-core GPU, 512GB SSD- English Arabic Keyboard Space Grey ","5,479"
"ASUS Vivobook S 14 Flip 2-In-1 Convertible Laptop With 14-Inch Touch WUXGA Processor,Ryzen-5-7530U Processor/8GB RAM/512GB SSD/Windows 11/AMD Radeon Graphics English/Arabic Cool Silver ","1,999"
"HP 15s-fq5013nx Laptop With 15.6-Inch Full HD Display, Intel Core i5-1235U Processor/8GB RAM/512GB SSD/Intel Iris Xe Graphics/Windows 11 Home/ English/Arabic Chalkboard Gray ","1,599"
Acer Spin 3 SP314 Convertible Notebook With 12th Gen Intel Core i5-1235U 10 Cores Upto 4.40GHz/8GB LPDDR4X RAM/512GB SSD Storage English/Arabic Pure Silver ,"1,999"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i7-13700H Processor/16GB RAM /1TB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","3,199"
"MSI Modern Laptop With 14-inch Full HD (1920x1080) Display, Intel Core i5 1235U Processor/8GB RAM/512GB SSD/Windows 11 Home/Intel Iris Xe Graphics/ English/Arabic Black ","1,549"
"Infinix GTBOOK Laptop With 16-Inch Display, Core i5-12450H Processor/16GB RAM/512GB SSD/6GB Nvidia Geforce RTX 3050 Graphics Card/Windows 11 Home With RGB Pad, RGB Headset & Gaming Mouse English/Arabic Mecha Gray ","2,999"
"Infinix GTBOOK Laptop With 16-Inch Display, Core i9-13900H Processor/32GB RAM/1TB SSD/6GB Nvidia Geforce RTX 4060 Graphics Card/Windows 11 Home With RGB Pad, RGB Headset & Gaming Mouse English/Arabic Gray ","5,399"
Microsoft Surface Pro9 13 Inch 12Th Gen Intel Core I5-1235U Processor 8GB RAM 256 SSD Windows 11 Home English/Arabic Graphite ,"3,499"
"ASUS Vivobook 16 Laptop With 16-inch Display, AMD Ryzen 5 Processor/8GB RAM/1TB SSD/Windows 11 Home/AMD Radeon Graphics/ Arabic Indie Black ","1,899"
"ASUS Vivobook 16 Laptop With 16-inch Full HD Display, AMD Ryzen 7-7730U Processor/16GB RAM/512GB SSD/Windows 11 Home/AMD Radeon Graphics/ English/Arabic Indie Black ","2,199"
"HP Pavilion Plus Laptop With 14-inch Display, Core i5 Processor/16GB RAM/512GB SSD/Windows 11/Intel Iris Xe Graphics English/Arabic Natural Silver ","2,609"
"Acer Nitro 5 Laptop With 17.3-inch Display, Core i7-12700H Processor/16GB RAM/512GB SSD/DOS(Without Windows)/6GB Nvidia GeForce RTX 3060/ English/Arabic Obsidian Black ","4,299"
"HP Pavilion x360 Laptop With 14-inch Display, Core i5-1335U Processor/8GB RAM/512GB/Windows 11/Intel Iris Xe Graphic Card English/Arabic Pale Rose Gold ","2,449"
"Apple 2023 MacBook Pro Laptop M3 Max chip with 14‑core CPU, 30‑core GPU: 14.2-inch Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage And Works with iPhone/iPad English/Arabic Silver ","14,099"
"Lenovo IdeaaPad 3 14IML05 -81WA00L1AD/Intel i5-10210U/Ram 8Gb Ddr4/512Gb Ssd/14"" FHD Tn Display/Windows 10 Pro English/Arabic Blue ","1,999"
"ASUS TUF Gaming F15 Laptop With 15.6-Inch FHD Display, Core i7-11800H Processor/16GB RAM/1TB SSD/4GB Nvidia Geforce RTX 3050 Graphics Card/DOS(Without Windows) English/Arabic Black ","3,299"
"HP 250 G10 Laptop With 15.6-inch Full HD Display, Core i3-1315U Processor/4GB RAM/256GB SSD/DOS(Without Windows)/Intel UHD Graphics/ English/Arabic Silver ","1,193"
"Apple Renewed - Macbook Pro A1278 (2012) Laptop With 13.3-Inch Display,Intel Core i5 Processor/4th Gen/6GB RAM/500GB HDD/MacOS English Silver ",999
"MSI GF63 Thin Laptop With 15.6-Inch FHD Display, Core i7-12650H Processor/16GB RAM/512GB SSD/6GB Nvidia GeForce RTX 4050 Graphics Card/Windows 11 Home English/Arabic Black ","3,699"
"Infinix GTBOOK Laptop With 16-Inch Display, Core i9-13900H Processor/32GB RAM/1TB SSD/6GB Nvidia Geforce RTX 4060 Graphics Card/Windows 11 Home With RGB Pad, RGB Headset & Gaming Mouse English/Arabic Gray ","5,399"
"Apple MacBook Air MQKW3 15-Inch Display, Apple M2 Chip with 8-Core CPU And 10-Core GPU, 256GB SSD, English Arabic Keyboard Midnight ","4,899"
"ASUS Strix G16 Laptop With 16-Inch 165Hz Display, Core-i7-13650HX Processor/16GB RAM/1TB SSD/Windows 11/8GB Nvidia GeForce RTX 4060 Graphic Card Arabic Grey ","5,609"
"HUAWEI MateBook D15 Laptop With 15.6-Inch Display, Core i3 1115G4 Processor/8GB RAM/256GB SSD/Intel Iris XE Graphics/Windows 11 English/Arabic Mystic Sliver ","1,799"
"Apple 2023 Newest MacBook Pro MRX53 Laptop M3 Max chip with 14‑core CPU, 30‑core GPU: 14.2-inch Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage And Works with iPhone/iPad English/Arabic Space Black ","14,799"
"MSI GF63 Thin Gaming Laptop With 15.6-inch FHD (1920x1080) Display, Core i7-12650H Processor/16GB RAM/512GB SSD/Windows 11 Home/Nvidia GeForce RTX 3050 4GB/ English Black ","3,349"
"Microsoft Renewed - Surface Pro 4 (2015) Laptop With 12.3-Inch Touchscreen Display,Intel Core i5 Processor/6th Gen/4GB RAM/128GB SSD/Intel HD Graphics 620 Silver Silver ","1,221"
