,price,Category,Inch,Core,Processor,Ram,Memory,Opysys
238,"1,139",Acer,15.6-Inch,Core i3,-1115G,4GB,256GB SSD,
239,"2,849",ASUS,14-Inch,Core i5,-13500H,8GB,512GB SSD,Windows 11
240,"4,790",Lenovo,,Intel Core i7,-13650H,16GB,512GB SSD,
241,"5,999",Apple,15-Inch,,,512GB,512GB SSD,
242,"1,629",Lenovo,,Core i5,-1235U,,,
243,"3,899",Lenovo,15.6-Inch,Core i7,-1255U,16GB,512GB SSD,Windows 11
244,"2,498",HP,14-Inch,Core i5,,8GB,256GB SSD,Windows 10
245,"2,999",HP,15.6-Inch,Core i7,,8GB,512GB SSD,
246,"1,299",Acer,15.6-Inch,Core i3,,8GB,256GB SSD,
247,"3,899",Lenovo,,Intel Core i7,-13700H,16GB,512GB SSD,
248,"1,239",Lenovo,14-Inch,Core i3,-1115G,4GB,256GB SSD,Windows 10
249,"4,499",HUAWEI,14-Inch,Core i7,-1360P,16GB,1TB SSD,Windows 11
250,"2,939",HP,15.6-Inch,Core i7,-1255U,16GB,512GB SSD,
251,"5,999",Apple,,,,8GB,512GB SSD,
253,"2,449",ASUS,15.6-Inch,Core i7,-1355U,16GB,512GB SSD,Windows 11
255,"1,995",Acer,15.6-Inch,Core i7,-1165G,8GB,512GB SSD,Windows 11
256,799,Lenovo,,,,4GB,256GB SSD,
257,"1,699",Lenovo,,Intel Core i5,-12500H,8GB,512GB SSD,
258,"3,999",ASUS,,,-6800H,16GB,512GB SSD,
259,"3,299",HP,,Core i5,,8GB,512GB SSD,Windows 11
260,824,ASUS,,,,4GB,256GB SSD,
261,"2,699",ASUS,15.6-Inch,Core i7,-1355U,16GB,512GB SSD,
262,860,ASUS,,,,4GB,,
263,"1,735",Lenovo,,Intel Core i5,-1235U,8GB,512GB SSD,
264,"1,235",HP,15.6-Inch,Core i3,,4GB,,
265,"3,088",Lenovo,,,,8GB,512GB SSD,Windows 11
266,"2,330",ASUS,15.6-Inch,Core i7,-1255U,16GB,512GB SSD,
267,"3,288",Lenovo,15.6-Inch,Core i5,,8GB,512GB SSD,Windows 11
268,"2,199",Acer,15.6-Inch,Core i5,-1235U,8GB,512GB SSD,Windows 11
269,"7,199",Microsoft,13 Inch,Intel Core i7,-1255U,16GB,,Windows 11
270,"3,965",Acer,,Core i7,-12650H,16GB,512GB SSD,
271,"3,599",HP,,Core i7,-1355U,8GB,512GB SSD,
272,"1,299",Acer,15.6-Inch,Core i3,-1215U,8GB,512GB SSD,
273,"1,349",ASUS,15.6-Inch,,,4GB,,Windows 11
274,"1,697",Lenovo,,Core i5,-1235U,8GB,256GB SSD,
275,"3,250",HP,14-Inch,Core i7,-1255U,8GB,512GB SSD,
276,"2,490",Microsoft,12-Inch,Intel Core i5,,8GB,128GB SSD,Windows 11
277,999,ASUS,,,,4GB,512GB SSD,
278,"12,890",MSI,,Core i9,-13980H,64GB,2TB SSD,Windows 11
279,"4,999",Apple,,,,8GB,256GB SSD,
280,"2,199",Lenovo,,Intel Core i7,,8GB,512GB SSD,
